Description,Original_Category,Corrected_Category,Timestamp
UPI-INDIAN RAILWAYS-RAILSBIUPI11@SBI-SBI N0006812-506034019600-SENT USING PAYTM U,Uncategorized,Travel,2025-04-01 21:05:08
UPI-CONFIRM TICKET ONLIN-CONFIRMTICKETO. PAYU@MAIRTEL-AIRP0000001-535619807733-UP IINTENT,Uncategorized,Travel,2025-04-01 21:05:08
UPI-IRCTC CF-IRCTC.CF@HDFCBANK-HDFC00004 99-100080866023-IRCTC TICKET BOOKI,Uncategorized,Travel,2025-04-01 21:05:08
UPI-DIGVIJAY RAJARAM BED-DIGVIJAY.BEDKYA LE@IBL-HDFC0003726-211807293864-PAYMENT FROM PHONE,Uncategorized,Rent,2025-04-01 21:05:08
UPI-SUNITA MALLINATH CHO-Q754207358@YBL- YESB0YBLUPI-506041366842-SENT USING PAYT MU,Uncategorized,Food & Dining,2025-04-01 21:05:08
UPI-MANGAL SUBHASH CHIKO-Q233447263@YBL- YESB0YBLUPI-506150855218-SENT USING PAYT MU,Uncategorized,Food & Dining,2025-04-01 21:05:08
UPI-ALAKA U LIMAYE-PAYTMQR281005050101PZ FXOZEPDV47@PAYTM-YESB0PTMUPI-50615661477 5-NA,Uncategorized,Groceries,2025-04-01 21:05:08
UPI-GOOGLE PLAY-PLAYSTORE@AXISBANK-UTIB0 000553-261837980625-MANDATEEXECUTE,Uncategorized,Fees/Charges,2025-04-01 21:05:08
UPI-UBER INDIA SYSTEMS P-UBERINDIASYSTEM SPRIVATELIMITED.RAZORP@ICICI-ICIC0DC0099 -833264940590-UBERRIDE,Uncategorized,Travel,2025-04-01 21:05:08
UPI-INDIAN RAILWAYS-RAILSBIUPI11@SBI-SBI N0006812-506034019600-SENT USING PAYTM U,Uncategorized,Travel,2025-04-01 21:05:47
UPI-CONFIRM TICKET ONLIN-CONFIRMTICKETO. PAYU@MAIRTEL-AIRP0000001-535619807733-UP IINTENT,Uncategorized,Travel,2025-04-01 21:05:47
UPI-IRCTC CF-IRCTC.CF@HDFCBANK-HDFC00004 99-100080866023-IRCTC TICKET BOOKI,Uncategorized,Travel,2025-04-01 21:05:47
UPI-DIGVIJAY RAJARAM BED-DIGVIJAY.BEDKYA LE@IBL-HDFC0003726-211807293864-PAYMENT FROM PHONE,Uncategorized,Rent,2025-04-01 21:05:47
UPI-SUNITA MALLINATH CHO-Q754207358@YBL- YESB0YBLUPI-506041366842-SENT USING PAYT MU,Uncategorized,Food & Dining,2025-04-01 21:05:47
UPI-MANGAL SUBHASH CHIKO-Q233447263@YBL- YESB0YBLUPI-506150855218-SENT USING PAYT MU,Uncategorized,Food & Dining,2025-04-01 21:05:47
UPI-ALAKA U LIMAYE-PAYTMQR281005050101PZ FXOZEPDV47@PAYTM-YESB0PTMUPI-50615661477 5-NA,Uncategorized,Groceries,2025-04-01 21:05:47
UPI-GOOGLE PLAY-PLAYSTORE@AXISBANK-UTIB0 000553-261837980625-MANDATEEXECUTE,Uncategorized,Fees/Charges,2025-04-01 21:05:47
UPI-UBER INDIA SYSTEMS P-UBERINDIASYSTEM SPRIVATELIMITED.RAZORP@ICICI-ICIC0DC0099 -833264940590-UBERRIDE,Uncategorized,Travel,2025-04-01 21:05:47
UPI-VINAYAK NARAYANRAO S-PAYTMQR5JMWXQ@P TYS-YESB0PTMUPI-506259293321-SENT USING PAYTM U,Uncategorized,Travel,2025-04-01 21:05:47
UPI-INDIAN RAILWAYS-RAILSBIUPI11@SBI-SBI N0006812-506034019600-SENT USING PAYTM U,Uncategorized,Travel,2025-04-01 21:06:11
UPI-CONFIRM TICKET ONLIN-CONFIRMTICKETO. PAYU@MAIRTEL-AIRP0000001-535619807733-UP IINTENT,Uncategorized,Travel,2025-04-01 21:06:11
UPI-IRCTC CF-IRCTC.CF@HDFCBANK-HDFC00004 99-100080866023-IRCTC TICKET BOOKI,Uncategorized,Travel,2025-04-01 21:06:11
